model_name,dataset,evaluation_mode,history_mode,dummy_type,k,off_run_id,on_run_id,off_num_items,on_num_items,off_accuracy,on_accuracy,off_format_failure_rate,on_format_failure_rate
Qwen/Qwen3-1.7B,aime,multi_turn,oracle_history,same_domain,2,run-20260311T193920Z-b16718e7,run-20260311T194547Z-1bb770a7,30,30,0.1,0.03333333333333333,0.26666666666666666,0.8333333333333334
Qwen/Qwen3-1.7B,gpqa,multi_turn,oracle_history,same_domain,2,run-20260311T095147Z-9780aeaf,run-20260311T095329Z-562ba8dc,448,448,0.27232142857142855,0.27232142857142855,0.008928571428571428,0.026785714285714284
Qwen/Qwen3-1.7B,gsm8k,single_turn_flattened,self_history,cross_domain,2,run-20260311T115627Z-db8bf662,run-20260311T193631Z-270aebac,1319,1319,0.35178165276724793,0.3889310083396513,0.18271417740712662,0.1379833206974981
Qwen/Qwen3-1.7B,mmlu,multi_turn,oracle_history,same_domain,2,run-20260312T053743Z-b5f103ff,run-20260312T193756Z-f686300f,14042,14042,0.5883777239709443,0.6664292835778379,0.0010682238997293833,0.021364477994587665
